ID_ANO_LANC;ID_MES_LANC;ID_DIA_LANC;NO_DIA_COMPLETO;ID_ITEM_INFORMACAO;NO_ITEM_INFORMACAO;CO_ITEM_INFORMACAO;ID_ORGAO_UG;CO_ORGAO;NO_ORGAO;SALDORITEMINFORMAO
2018;6;1;01/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20301;20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;-5823881.070000
2018;7;4;04/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;237648.200000
2017;3;17;17/03/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20301;20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;-256933.830000
2017;5;26;26/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;24901;24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;-375423.000000
2018;5;2;02/05/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20301;20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;-4789461.100000
2017;11;27;27/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20402;20402;AGENCIA ESPACIAL BRASILEIRA - AEB;-341576.830000
2017;7;24;24/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;24901;24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;152641.760000
2017;10;9;09/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20302;20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;-418519.270000
2017;8;26;26/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;1800.000000
2017;9;4;04/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20501;20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;4751558.690000
2017;3;10;10/03/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20501;20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;-1735083.280000
2017;7;3;03/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;-57849.880000
2017;11;30;30/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20302;20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;3188273.080000
2017;1;9;09/01/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;-27964.640000
2017;3;31;31/03/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;-1844324.630000
2017;2;11;11/02/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20501;20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;1285305.820000
